filename,ATTRIBUTE_Tray,ATTRIBUTE_Injection_Order,ATTRIBUTE_Date_Collected,ATTRIBUTE_Site,ATTRIBUTE_Bottle_Number,ATTRIBUTE_Sample_Device,ATTRIBUTE_mL_filtered,ATTRIBUTE_HPLC_number,ATTRIBUTE_Meter,ATTRIBUTE_Quad,ATTRIBUTE_Replicate,ATTRIBUTE_Sample_Type,ATTRIBUTE_Month,ATTRIBUTE_Season,ATTRIBUTE_Phase_State,ATTRIBUTE_Functional_Group,ATTRIBUTE_Color,ATTRIBUTE_Species,ATTRIBUTE_Tissue_Study
26.mzML,NA,NA,5_24_2022,Allen_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,May,Early_Season,Turf,Red_Blade,Red,Palmaria_palmata,Core_T
260E.mzML,NA,NA,9_13_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,September,NA,NA,Kelp,Brown,Sacchrina_latissima,Core_T
261E.mzML,NA,NA,9_13_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,September,NA,NA,Red_Blade,Red,Chondrus_crispus,Core_T
263E.mzML,NA,NA,9_13_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,September,NA,NA,Kelp,Brown,Sacchrina_latissima,Core_T
268E.mzML,NA,NA,9_13_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,September,NA,NA,Red_Filament,Red,Dasysiponia_japonica,Core_T
269E.mzML,NA,NA,9_13_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,September,NA,NA,Kelp,Brown,Sacchrina_latissima,Core_T
26E.mzML,NA,NA,5_16_2022,Metinic,NA,NA,NA,NA,NA,NA,NA,Tissue,May,NA,NA,Red_Blade,Red,Chondrus_crispus,Core_T
27.mzML,NA,NA,5_24_2022,Allen_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,May,Early_Season,Turf,Red_Filament,Red,Polysiphonia_stricta,Core_T
270E.mzML,NA,NA,9_16_2022,Halfway_Rock,NA,NA,NA,NA,NA,NA,NA,Tissue,September,NA,NA,Red_Blade,Red,Chondrus_crispus,Core_T
271E.mzML,NA,NA,9_16_2022,Halfway_Rock,NA,NA,NA,NA,NA,NA,NA,Tissue,September,NA,NA,Kelp,Brown,Sacchrina_latissima,Core_T
272E.mzML,NA,NA,9_16_2022,Halfway_Rock,NA,NA,NA,NA,NA,NA,NA,Tissue,September,NA,NA,Kelp,Brown,Sacchrina_latissima,Core_T
273E.mzML,NA,NA,9_16_2022,Halfway_Rock,NA,NA,NA,NA,NA,NA,NA,Tissue,September,NA,NA,Red_Filament,Red,Dasysiponia_japonica,Core_T
274E.mzML,NA,NA,9_16_2022,Halfway_Rock,NA,NA,NA,NA,NA,NA,NA,Tissue,September,NA,NA,Red_Blade,Red,Chondrus_crispus,Core_T
275E.mzML,NA,NA,9_16_2022,Halfway_Rock,NA,NA,NA,NA,NA,NA,NA,Tissue,September,NA,NA,Red_Filament,Red,Dasysiponia_japonica,Core_T
276E.mzML,NA,NA,9_16_2022,Halfway_Rock,NA,NA,NA,NA,NA,NA,NA,Tissue,September,NA,NA,Red_Blade,Red,Chondrus_crispus,Core_T
277E.mzML,NA,NA,9_16_2022,Halfway_Rock,NA,NA,NA,NA,NA,NA,NA,Tissue,September,NA,NA,Red_Filament,Red,Dasysiponia_japonica,Core_T
278E.mzML,NA,NA,9_16_2022,Halfway_Rock,NA,NA,NA,NA,NA,NA,NA,Tissue,September,NA,NA,Kelp,Brown,Sacchrina_latissima,Core_T
27E.mzML,NA,NA,5_16_2022,Metinic,NA,NA,NA,NA,NA,NA,NA,Tissue,May,NA,NA,Red_Blade,Red,Chondrus_crispus,Core_T
28E.mzML,NA,NA,5_16_2022,Metinic,NA,NA,NA,NA,NA,NA,NA,Tissue,May,NA,NA,Red_Filament,Red,Dasysiponia_japonica,Core_T
29.mzML,NA,NA,5_24_2022,Allen_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,May,Early_Season,Turf,Red_Blade,Red,Euthora_cristata,Core_T
29E.mzML,NA,NA,5_16_2022,Metinic,NA,NA,NA,NA,NA,NA,NA,Tissue,May,NA,NA,Kelp,Brown,Laminaria_digitata,Core_T
2E.mzML,NA,NA,4_25_2022,Allen_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,April,NA,NA,Red_Blade,Red,Chondrus_crispus,Core_T
30.mzML,NA,NA,5_24_2022,Allen_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,May,Early_Season,Turf,Red_Filament,Red,Dasysiponia_japonica,Core_T
300.mzML,NA,NA,3_10_2022,Allen_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,March,NA,NA,Red_Blade,Red,Chondrus_crispus,Core_T
301.mzML,NA,NA,3_18_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,March,NA,NA,Red_Blade,Red,Chondrus_crispus,Core_T
302.mzML,NA,NA,4_13_2022,Metinic,NA,NA,NA,NA,NA,NA,NA,Tissue,April,NA,NA,Kelp,Brown,Sacchrina_latissima,Core_T
303.mzML,NA,NA,3_11_2022,Halfway_Rock,NA,NA,NA,NA,NA,NA,NA,Tissue,March,NA,NA,Red_Blade,Red,Chondrus_crispus,Core_T
304.mzML,NA,NA,4_13_2022,Metinic,NA,NA,NA,NA,NA,NA,NA,Tissue,April,NA,NA,Red_Blade,Red,Chondrus_crispus,Core_T
305.mzML,NA,NA,4_13_2022,Metinic,NA,NA,NA,NA,NA,NA,NA,Tissue,April,NA,NA,Red_Filament,Red,Dasysiponia_japonica,Core_T
306.mzML,NA,NA,3_11_2022,Halfway_Rock,NA,NA,NA,NA,NA,NA,NA,Tissue,March,NA,NA,Red_Filament,Red,Dasysiponia_japonica,Core_T
307.mzML,NA,NA,3_18_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,March,NA,NA,Kelp,Brown,Sacchrina_latissima,Core_T
308.mzML,NA,NA,3_10_2022,Allen_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,March,NA,NA,Red_Blade,Red,Chondrus_crispus,Core_T
309.mzML,NA,NA,3_10_2022,Metinic,NA,NA,NA,NA,NA,NA,NA,Tissue,March,NA,NA,Kelp,Brown,Laminaria_digitata,Core_T
30E.mzML,NA,NA,5_16_2022,Metinic,NA,NA,NA,NA,NA,NA,NA,Tissue,May,NA,NA,Red_Filament,Red,Dasysiponia_japonica,Core_T
31.mzML,NA,NA,5_24_2022,Allen_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,May,Early_Season,Turf,Red_Tube,Red,GCA,Core_T
310.mzML,NA,NA,4_13_2022,Metinic,NA,NA,NA,NA,NA,NA,NA,Tissue,April,NA,NA,Red_Filament,Red,Dasysiponia_japonica,Core_T
311.mzML,NA,NA,3_11_2022,Halfway_Rock,NA,NA,NA,NA,NA,NA,NA,Tissue,March,NA,NA,Red_Blade,Red,Chondrus_crispus,Core_T
312.mzML,NA,NA,3_18_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,March,NA,NA,Kelp,Brown,Sacchrina_latissima,Core_T
313.mzML,NA,NA,3_10_2022,Metinic,NA,NA,NA,NA,NA,NA,NA,Tissue,March,NA,NA,Red_Blade,Red,Chondrus_crispus,Core_T
314.mzML,NA,NA,3_18_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,March,NA,NA,Red_Filament,Red,Dasysiponia_japonica,Core_T
315.mzML,NA,NA,4_13_2022,Metinic,NA,NA,NA,NA,NA,NA,NA,Tissue,April,NA,NA,Red_Blade,Red,Chondrus_crispus,Core_T
316.mzML,NA,NA,4_13_2022,Metinic,NA,NA,NA,NA,NA,NA,NA,Tissue,April,NA,NA,Kelp,Brown,Laminaria_digitata,Core_T
317.mzML,NA,NA,4_13_2022,Metinic,NA,NA,NA,NA,NA,NA,NA,Tissue,April,NA,NA,Red_Filament,Red,Dasysiponia_japonica,Core_T
318.mzML,NA,NA,4_13_2022,Metinic,NA,NA,NA,NA,NA,NA,NA,Tissue,April,NA,NA,Kelp,Brown,Laminaria_digitata,Core_T
319.mzML,NA,NA,3_18_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,March,NA,NA,Red_Blade,Red,Chondrus_crispus,Core_T
32.mzML,NA,NA,5_24_2022,Allen_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,May,Early_Season,Turf,Kelp,Red,Chondrus_crispus,Core_T
320.mzML,NA,NA,4_13_2022,Metinic,NA,NA,NA,NA,NA,NA,NA,Tissue,April,NA,NA,Red_Blade,Red,Dasysiponia_japonica,Core_T
321.mzML,NA,NA,3_10_2022,Metinic,NA,NA,NA,NA,NA,NA,NA,Tissue,March,NA,NA,Red_Blade,Red,Chondrus_crispus,Core_T
322.mzML,NA,NA,3_18_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,March,NA,NA,Red_Filament,Red,Dasysiponia_japonica,Core_T
33.mzML,NA,NA,5_24_2022,Allen_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,May,Early_Season,Turf,Coralline,Red,Corallina_officinalis,Core_T
34.mzML,NA,NA,5_24_2022,Allen_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,May,Early_Season,Turf,Kelp,Brown,Agarum_clathrathum,Core_T
35.mzML,NA,NA,5_24_2022,Allen_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,May,Early_Season,Turf,Red_Filament,Red,Bonnemaisonia_hamifera,Core_T
36.mzML,NA,NA,6_2_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Turf,Red_Blade,Red,Porphyra,Core_T
37.mzML,NA,NA,6_2_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Turf,Kelp,Brown,Laminaria_digitata,Core_T
38.mzML,NA,NA,8_16_2022,Halfway_Rock,NA,NA,NA,NA,NA,NA,NA,Tissue,August,Late_Season,Turf,Red_Blade,Red,Chondrus_crispus,Core_T
39.mzML,NA,NA,6_2_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Turf,Kelp,Brown,Alaria_esculenta,Core_T
40.mzML,NA,NA,6_2_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Turf,Green_Blade,Green,Ulva,Core_T
41.mzML,NA,NA,6_16_2022,Little_Drisko,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Kelp,Coralline,Red,Corallina_officinalis,Core_T
42.mzML,NA,NA,6_2_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Turf,Coralline,Red,Corallina_officinalis,Core_T
43.mzML,NA,NA,6_14_2022,Ram_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Kelp,Red_Blade,Red,Euthora_cristata,Core_T
44.mzML,NA,NA,6_16_2022,Little_Drisko,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Kelp,Red_Blade,Red,Chondrus_crispus,Core_T
45.mzML,NA,NA,6_2_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Turf,Red_Filament,Red,Polysiphonia_stricta,Core_T
46.mzML,NA,NA,6_2_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Turf,Red_Filament,Red,Dasysiponia_japonica,Core_T
47.mzML,NA,NA,6_2_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Turf,Red_Blade,Red,Chondrus_crispus,Core_T
48.mzML,NA,NA,6_2_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Turf,Red_Filament,Red,Bonnemaisonia_hamifera,Core_T
49.mzML,NA,NA,6_2_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Turf,Desmerestia,Brown,Desmerestia_viridis,Core_T
4E.mzML,NA,NA,4_27_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,April,NA,NA,Kelp,Brown,Sacchrina_latissima,Core_T
50.mzML,NA,NA,8_16_2022,Halfway_Rock,NA,NA,NA,NA,NA,NA,NA,Tissue,August,Late_Season,Turf,Kelp,Brown,Sacchrina_latissima,Core_T
51.mzML,NA,NA,8_19_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,August,Late_Season,Turf,Red_Filament,Red,Dasysiponia_japonica,Core_T
52.mzML,NA,NA,8_22_2022,Allen_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,August,Late_Season,Turf,Kelp,Brown,Laminaria_digitata,Core_T
53.mzML,NA,NA,6_2_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Turf,Kelp,Brown,Agarum_clathrathum,Core_T
54.mzML,NA,NA,8_28_2022,Ram_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,August,Late_Season,Kelp,Coralline,Red,Corallina_officinalis,Core_T
55.mzML,NA,NA,8_16_2022,Halfway_Rock,NA,NA,NA,NA,NA,NA,NA,Tissue,August,Late_Season,Turf,Green_Blade,Green,Ulva,Core_T
57.mzML,NA,NA,8_29_2022,Crumple,NA,NA,NA,NA,NA,NA,NA,Tissue,August,Late_Season,Kelp,Kelp,Brown,Sacchrina_latissima,Core_T
59.mzML,NA,NA,6_16_2022,Little_Drisko,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Kelp,Kelp,Brown,Laminaria_digitata,Core_T
5E.mzML,NA,NA,4_25_2022,Allen_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,April,NA,NA,Kelp,Brown,Sacchrina_latissima,Core_T
60.mzML,NA,NA,6_16_2022,Little_Drisko,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Kelp,Red_Blade,Red,Phycodrys_rubens,Core_T
61.mzML,NA,NA,8_16_2022,Halfway_Rock,NA,NA,NA,NA,NA,NA,NA,Tissue,August,Late_Season,Turf,Red_Blade,Red,Porphyra,Core_T
62.mzML,NA,NA,6_14_2022,Ram_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Kelp,Red_Tube,Red,GCA,Core_T
63.mzML,NA,NA,8_22_2022,Allen_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,August,Late_Season,Turf,Kelp,Brown,Sacchrina_latissima,Core_T
64.mzML,NA,NA,6_15_2022,Crumple,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Kelp,Kelp,Brown,Sacchrina_latissima,Core_T
65.mzML,NA,NA,6_15_2022,Crumple,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Kelp,Kelp,Brown,Laminaria_digitata,Core_T
66.mzML,NA,NA,6_16_2022,Little_Drisko,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Kelp,Red_Blade,Red,Euthora_cristata,Core_T
68.mzML,NA,NA,8_28_2022,Ram_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,August,Late_Season,Kelp,Kelp,Brown,Sacchrina_latissima,Core_T
69.mzML,NA,NA,6_15_2022,Crumple,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Kelp,Red_Filament,Red,Polysiphonia_stricta,Core_T
70.mzML,NA,NA,8_16_2022,Halfway_Rock,NA,NA,NA,NA,NA,NA,NA,Tissue,August,Late_Season,Turf,Red_Filament,Red,Dasysiponia_japonica,Core_T
71.mzML,NA,NA,6_14_2022,Ram_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Kelp,Coralline,Red,Corallina_officinalis,Core_T
72.mzML,NA,NA,6_15_2022,Crumple,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Kelp,Kelp,Brown,Alaria_esculenta,Core_T
73.mzML,NA,NA,6_16_2022,Little_Drisko,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Kelp,Kelp,Brown,Sacchrina_latissima,Core_T
74.mzML,NA,NA,8_28_2022,Ram_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,August,Late_Season,Kelp,Red_Tube,Red,Polyides,Core_T
75.mzML,NA,NA,6_16_2022,Little_Drisko,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Kelp,Red_Tube,Red,GCA,Core_T
76.mzML,NA,NA,6_15_2022,Crumple,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Kelp,Kelp,Brown,Agarum_clathrathum,Core_T
77.mzML,NA,NA,8_19_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,August,Late_Season,Turf,Kelp,Brown,Laminaria_digitata,Core_T
78.mzML,NA,NA,6_15_2022,Crumple,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Kelp,Red_Filament,Red,Ceramium,Core_T
79.mzML,NA,NA,6_16_2022,Little_Drisko,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Kelp,Kelp,Brown,Agarum_clathrathum,Core_T
80.mzML,NA,NA,6_14_2022,Ram_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Kelp,Red_Blade,Red,Phycodrys_rubens,Core_T
81.mzML,NA,NA,8_16_2022,Halfway_Rock,NA,NA,NA,NA,NA,NA,NA,Tissue,August,Late_Season,Turf,Coralline,Red,Corallina_officinalis,Core_T
82.mzML,NA,NA,8_19_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,August,Late_Season,Turf,Desmerestia,Brown,Desmerestia_aculeata,Core_T
83.mzML,NA,NA,8_22_2022,Allen_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,August,Late_Season,Unknown,Unknown,Unknown,Unknown,Core_T
84.mzML,NA,NA,8_28_2022,Ram_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,August,Late_Season,Kelp,Green,Green,Cheatomorpha,Core_T
85.mzML,NA,NA,6_14_2022,Ram_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Kelp,Red_Blade,Red,Chondrus_crispus,Core_T
86.mzML,NA,NA,8_19_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,August,Late_Season,Turf,Kelp,Brown,Sacchrina_latissima,Core_T
86E.mzML,NA,NA,8_25_2022,Metinic,NA,NA,NA,NA,NA,NA,NA,Tissue,August,NA,NA,Kelp,Brown,Laminaria_digitata,Core_T
87.mzML,NA,NA,6_15_2022,Crumple,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Kelp,Red_Blade,Red,Palmaria_palmata,Core_T
87E.mzML,NA,NA,6_29_2022,Allen_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,June,NA,NA,Kelp,Brown,Laminaria_digitata,Core_T
88.mzML,NA,NA,9_8_2022,Isle_Au_Haute,NA,NA,NA,NA,NA,NA,NA,Tissue,September,Late_Season,Turf,Red_Filament,Red,Dasysiponia_japonica,Core_T
89.mzML,NA,NA,8_19_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,August,Late_Season,Turf,Red_Blade,Red,Chondrus_crispus,Core_T
8E.mzML,NA,NA,4_27_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,April,NA,NA,Red_Blade,Red,Chondrus_crispus,Core_T
90.mzML,NA,NA,8_16_2022,Halfway_Rock,NA,NA,NA,NA,NA,NA,NA,Tissue,August,Late_Season,Turf,Kelp,Brown,Alaria_esculenta,Core_T
91.mzML,NA,NA,8_22_2022,Allen_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,August,Late_Season,Turf,Desmerestia,Brown,Desmerestia_aculeata,Core_T
92.mzML,NA,NA,8_22_2022,Allen_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,August,Late_Season,Turf,Red_Blade,Red,Palmaria_palmata,Core_T
93.mzML,NA,NA,6_14_2022,Ram_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Kelp,Kelp,Brown,Agarum_clathrathum,Core_T
93E.mzML,NA,NA,6_29_2022,Allen_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,June,NA,NA,Red_Blade,Red,Chondrus_crispus,Core_T
94.mzML,NA,NA,6_15_2022,Crumple,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Kelp,Red_Filament,Red,Rhodomela,Core_T
94E.mzML,NA,NA,6_29_2022,Allen_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,June,NA,NA,Red_Filament,Red,Dasysiponia_japonica,Core_T
